url,label
https://login.microsoft.credential-942.xyz/secure/verify,-1
https://xn--paypl-p9a.com/login-session,-1
https://my-linkedin.com/main,1
https://verify.account.login-374.xyz/auth,-1
https://github.io/watch,1
https://xn--facebok-80a.net/login-session,-1
https://xn--gogle-p9a.com/login-session,-1
http://login.microsoft.credential-864.ga/auth,-1
https://xn--instgram-49a.site/login-session,-1
https://linkedin.com/profile,1
https://netflix.com/docs,1
http://auth.billing-138.cf/auth,-1
http://secure.billing-275.pw/wallet/secure,-1
https://my-microsoft.com/docs,1
https://github.io/search,1
https://login.microsoft.account-128.online/credential/bank,-1
http://verify.account.account-170.online/secure/credential,-1
https://google.com/order,1
https://apple.com/main,1
https://github.io/docs,1
https://netflix.com/watch,1
https://microsoft.com/watch,1
https://xn--gogle-p9a.site/login-session,-1
https://my-microsoft.com/profile,1
http://google.com/watch,1
https://microsoft.com/docs,1
https://my-netflix.com/order,1
http://auth.secure-425.ml/update/signin,-1
https://xn--microsft-q6a.site/login-session,-1
http://auth.login-851.pw/auth,-1
http://auth.secure-931.online/login/account,-1
https://xn--instgram-49a.org/login-session,-1
http://secure.wallet-828.gq/verify/wallet,-1
http://google.com/main,1
http://verify.account.secure-243.top/auth,-1
http://secure.signin-478.cf/auth,-1
https://xn--paypl-p9a.site/login-session,-1
https://verify.account.credential-559.pw/login/update,-1
https://netflix.com/profile,1
http://login.microsoft.secure-760.ml/secure/billing,-1
https://verify.account.secure-579.top/verify/update,-1
http://verify.account.secure-997.info/auth,-1
https://apple.com/profile,1
https://google.com/watch,1
https://xn--80ak6aa92e.site/login-session,-1
http://auth.update-619.site/auth,-1
http://login.microsoft.verify-812.online/login/account,-1
https://auth.signin-667.top/signin/wallet,-1
http://verify.account.signin-386.xyz/account/secure,-1
http://secure.signin-412.xyz/verify/update,-1
https://github.io/watch,1
https://login.microsoft.verify-377.cf/auth,-1
http://auth.update-499.cf/auth,-1
http://amazon.in/main,1
https://my-microsoft.com/order,1
https://my-netflix.com/main,1
https://amazon.in/search,1
https://auth.update-544.tk/auth,-1
http://my-apple.com/order,1
https://my-github.io/watch,1
https://verify.account.account-905.site/auth,-1
http://auth.signin-191.cf/auth,-1
https://my-amazon.in/main,1
https://login.microsoft.verify-123.cf/auth,-1
https://microsoft.com/watch,1
https://my-github.io/profile,1
http://login.microsoft.credential-401.xyz/auth,-1
https://google.com/watch,1
http://login.microsoft.signin-197.tk/verify/account,-1
https://xn--microsft-q6a.org/login-session,-1
https://verify.account.credential-947.ml/account/secure,-1
https://login.microsoft.credential-989.gq/secure/billing,-1
https://auth.wallet-332.info/auth,-1
https://verify.account.credential-721.ga/auth,-1
https://my-amazon.in/profile,1
http://auth.login-840.pw/wallet/credential,-1
http://login.microsoft.secure-430.tk/wallet/billing,-1
https://microsoft.com/search,1
https://microsoft.com/search,1
https://github.io/main,1
https://verify.account.credential-402.site/account/credential,-1
http://secure.signin-320.site/account/login,-1
http://login.microsoft.update-137.ml/auth,-1
https://my-google.com/docs,1
https://google.com/docs,1
http://microsoft.com/docs,1
http://auth.login-254.online/update/signin,-1
https://amazon.in/order,1
https://my-apple.com/search,1
http://verify.account.wallet-214.tk/auth,-1
https://amazon.in/profile,1
https://netflix.com/main,1
https://linkedin.com/search,1
https://auth.billing-518.xyz/auth,-1
http://verify.account.bank-258.cf/auth,-1
https://xn--80ak6aa92e.org/login-session,-1
